influencer_name,Category,#Followers,#Posts,Likes,Comments,Total_Engagement,Engagement_Rate,Avg_Likes,Avg_Comments
maddiecapozza,fashion,51743.0,3,18220.0,46.0,18266.0,35.30139342519762,6073.333333333333,15.333333333333334
diana.stef,fashion,65592.0,2,776.0,14.0,790.0,1.2044151725820222,388.0,7.0
darya_zagranichnaya,fashion,21726.0,1,832.0,28.0,860.0,3.958390868084323,832.0,28.0
sophiaamoruso,fashion,615130.0,1,16732.0,203.0,16935.0,2.7530765854372246,16732.0,203.0
alexandrasolera,fashion,1758.0,1,259.0,21.0,280.0,15.927189988623436,259.0,21.0
torianicholexoxo,fashion,37651.0,2,2630.0,9.0,2639.0,7.009109983798571,1315.0,4.5
jdavismoranti,fashion,11303.0,1,65.0,2.0,67.0,0.5927629832787755,65.0,2.0
odkrywajacameryke_pl,fashion,34623.0,1,1121.0,31.0,1152.0,3.327268001039771,1121.0,31.0
mariskaoldenburg,fashion,12226.0,2,490.0,28.0,518.0,4.236872239489612,245.0,14.0
sofijuok,fashion,752112.0,1,17941.0,86.0,18027.0,2.396850469079073,17941.0,86.0
dominic.harrison.official,fashion,616058.0,3,245485.0,1000.0,246485.0,40.01003152300595,81828.33333333333,333.3333333333333
robertyuphotography,fashion,18375.0,2,608.0,3.0,611.0,3.3251700680272114,304.0,1.5
zoeyivory,fashion,70225.0,1,1189.0,6.0,1195.0,1.7016731933072269,1189.0,6.0
annelisehall,fashion,13135.0,1,1336.0,6.0,1342.0,10.216977540921203,1336.0,6.0
alessa_schatzl,fashion,59490.0,3,3165.0,47.0,3212.0,5.3992267608001345,1055.0,15.666666666666666
withallmyaffection,fashion,51192.0,2,2062.0,102.0,2164.0,4.227223003594312,1031.0,51.0
elylaninny,fashion,59920.0,2,1125.0,63.0,1188.0,1.9826435246995993,562.5,31.5
mariasri,fashion,6375.0,2,780.0,35.0,815.0,12.784313725490195,390.0,17.5
beautifulmorgan,fashion,100768.0,1,1947.0,11.0,1958.0,1.9430771673547158,1947.0,11.0
westbrooks.crystal,fashion,1131955.0,2,93068.0,803.0,93871.0,8.29282082768308,46534.0,401.5
sliceofstacy,fashion,3893.0,4,843.0,88.0,931.0,23.914718725918316,210.75,22.0
marcellosacchetta,fashion,618624.0,1,25464.0,61.0,25525.0,4.126092747775709,25464.0,61.0
na_turkey,fashion,1603.0,4,317.0,5.0,322.0,20.087336244541483,79.25,1.25
xxemilygrace,fashion,14674.0,3,2784.0,70.0,2854.0,19.449366225977922,928.0,23.333333333333332
wooyeonxoxo,fashion,5624.0,1,311.0,7.0,318.0,5.6543385490753915,311.0,7.0
dlfactory,fashion,1189.0,1,124.0,6.0,130.0,10.933557611438182,124.0,6.0
willowstar26,fashion,4737.0,2,146.0,15.0,161.0,3.3987755963690103,73.0,7.5
biancaebako,fashion,28990.0,3,2853.0,52.0,2905.0,10.02069679199724,951.0,17.333333333333332
andreeadatcu,fashion,1399.0,3,426.0,7.0,433.0,30.950679056468903,142.0,2.3333333333333335
shaunieandthecity,fashion,48663.0,4,9647.0,335.0,9982.0,20.51250436676736,2411.75,83.75
djorestisl,fashion,5342.0,1,120.0,2.0,122.0,2.283788843129914,120.0,2.0
swdmagazine,fashion,9497.0,1,48.0,5.0,53.0,0.5580709697799305,48.0,5.0
graciejlens,fashion,10235.0,2,1188.0,31.0,1219.0,11.910112359550562,594.0,15.5
rhechristine,fashion,2682.0,1,56.0,2.0,58.0,2.162565249813572,56.0,2.0
miranda_pollitt19,fashion,2021.0,2,233.0,37.0,270.0,13.359722909450767,116.5,18.5
glowpinkstah,fashion,70054.0,1,622.0,5.0,627.0,0.8950238387529621,622.0,5.0
drjenandjuice,fashion,54578.0,2,3616.0,248.0,3864.0,7.079775733812159,1808.0,124.0
bunnybernice,fashion,180189.0,3,16885.0,213.0,17098.0,9.488925517095938,5628.333333333333,71.0
xenia_stutz,fashion,11156.0,1,295.0,19.0,314.0,2.814628899247042,295.0,19.0
missbeccahaw,fashion,1763.0,1,146.0,2.0,148.0,8.394781622234827,146.0,2.0
vamp,fashion,384369.0,1,18130.0,242.0,18372.0,4.779781928303271,18130.0,242.0
shortpresents,fashion,18777.0,3,940.0,91.0,1031.0,5.490759972306545,313.3333333333333,30.333333333333332
wishwishwish,fashion,168309.0,1,5808.0,60.0,5868.0,3.486444575156409,5808.0,60.0
